DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE
MONTELUKAST,AIRCYS,SOLIDO,MATPRIFAR
MONTELUKAST,MONTELUKAST,SOLIDO,MOMENTA
MONTELUKAST,MONTIDE,SOLIDO,CIPLA
MONTELUKAST,AIROMED,SOLIDO,NOVAMED
MONTELUKAST,SUVIAR,SOLIDO,UNIPHARM
MONTELUKAST,LEUTRIEN,SOLIDO,MSN LABORATORIES PRIVATE
MONTELUKAST,KASTAMON,SOLIDO,SANDOZ
MONTELUKAST,MONTELUKAST,SOLIDO,COASPHARMA
MONTELUKAST,CERROKAST,SOLIDO,PATMAR
MONTELUKAST,AMISPED,SOLIDO,SANOFI AVENTIS
MONTELUKAST,MONTELUKAST,SOLIDO,AMERICAN GENERICS
MONTELUKAST,MONTELUKAST,SOLIDO,TECNOQUIMICAS
MONTELUKAST,AIRBRON,SOLIDO,LABINCO
MONTELUKAST,MONTELUKAST,SOLIDO,WINTHROP
MONTELUKAST,MONTELUKAST,SOLIDO,MEMPHIS
MONTELUKAST,KASTMAR,SOLIDO,SIEGFRIED
MONTELUKAST,XALAR,SOLIDO,PROCAPS
MONTELUKAST,ASMONT,SOLIDO,BUSSIE
MONTELUKAST,LEUCOTREN,SOLIDO,SCANDINAVIA PHARMA
MONTELUKAST,MONTELUKAST,SOLIDO,GENFAR
MONTELUKAST,MONTELUKAST,SOLIDO,LA SANTE
MONTELUKAST,BLOW,SOLIDO,GRUFARMA
MONTELUKAST,LUKAST,SOLIDO,LAFRANCOL
PILOCARPINA,PILOCARPINA CLORHIDRATO,SOLIDO,LAFRANCOL
PILOCARPINA,SALIVIA,SOLIDO,NOVAMED
PILOCARPINA,PILOCARPINA,SOLIDO,GENFAR
PILOCARPINA,PICARPIN,SOLIDO,HUMAX
PILOCARPINA,SITOGREN,SOLIDO,BECHEMICAL
PILOCARPINA,CARPINELO,SOLIDO,SERANEST
PILOCARPINA,PILOC,SOLIDO,PHARM SERVICES
PILOCARPINA,BALANXART,SOLIDO,BALANCE
PILOCARPINA,CARPIX,SOLIDO,LEGRAND
PILOCARPINA,PERNOVIN,SOLIDO,SYNTHESIS
PILOCARPINA,SALAGEN,SOLIDO,AMDIPHARM
TOPOTECAN,TOPOTECAN,LIQUIDO/SOLIDO,VENUS
METOPROLOL,BETOPROLOL,SOLIDO,ROPSOHN
METOPROLOL,METOPROLOL,SOLIDO,NTI NEW TRADE
METOPROLOL,METOPROLOL,SOLIDO,PENTACOOP
METOPROLOL,METOPROPOL,SOLIDO,ROPSOHN
METOPROLOL,PRESARTIN,SOLIDO,BLUEPHARMA
METOPROLOL,METOPROLOL,SOLIDO,LAPROFF
METOPROLOL,LOPRESOR,SOLIDO,NOVARTIS
METOPROLOL,METOPROLOL,SOLIDO,WINTHROP
METOPROLOL,METOPROLOL,SOLIDO,MEMPHIS
METOPROLOL,TENSOPROL,SOLIDO,BIOQUIFAR
METOPROLOL,METOPROLOL,SOLIDO,TECNOQUIMICAS
METOPROLOL,GRANDIL,SOLIDO,ANZG
METOPROLOL,METOPROLOL,SOLIDO,LA SANTE
CARVEDILOL,CARVEDILOL,SOLIDO,MEMPHIS
CARVEDILOL,CARDANCOR,SOLIDO,SIEGFRIED
CARVEDILOL,CARVEDILOL,SOLIDO,MK
CARVEDILOL,CARVEDILOL,SOLIDO,TECNOQUIMICAS
CARVEDILOL,CARVEDILOL,SOLIDO,LA SANTE
CARVEDILOL,BETAPLEX,SOLIDO,SYNTHESIS
CARVEDILOL,CARVEDILOL,SOLIDO,SANOFI AVENTIS
CARVEDILOL,CARVEDILOL,SOLIDO,WINTHROP
CARVEDILOL,TENVEDIL,SOLIDO,BLASKOV
CARVEDILOL,VASODYL,SOLIDO,GRUFARMA
CARVEDILOL,CORYOL,SOLIDO,SANDOZ
CARVEDILOL,CARVEDIL,SOLIDO,SCANDINAVIA PHARMA
CARVEDILOL,GARMISCH CARVEDIL,SOLIDO,SCANDINAVIA PHARMA
IRBESARTAN,MOFILET,SOLIDO,BIOREG PHARM
IRBESARTAN,IRBESARTAN,SOLIDO,ECAR
IRBESARTAN,IRBIGEN,SOLIDO,HETERO
IRBESARTAN,IRBEVITAE,SOLIDO,GALENICUM HEALTH
IRBESARTAN,IRBEPREX,SOLIDO,SCANDINAVIA PHARMA
IRBESARTAN,NADICIP,SOLIDO,CIPLA
IRBESARTAN,IRBESARTAN,SOLIDO,SALUSPHARMA
IRBESARTAN,IRBESARTAN,SOLIDO,BLUEPHARMA
IRBESARTAN,CORIONAL,SOLIDO,CLOSTER PHARMA
IRBESARTAN,IRBESARTAN,SOLIDO,LA SANTE
IRBESARTAN,ARAPLUS,SOLIDO,BIOTOSCANA
IRBESARTAN,IRBESARTAN,SOLIDO,SANDOZ
IRBESARTAN,IRBESARTAN,SOLIDO,AMERICAN GENERICS
IRBESARTAN,IRBESARTAN SANDOZ,SOLIDO,SANDOZ
IRBESARTAN,IRBETT,SOLIDO,SIEGFRIED
TOLTERODINA,TOLDY,SOLIDO,HETERO
TOLTERODINA,TOXTREX,SOLIDO,XINETIX PHARMA
TOLTERODINA,TEROTOL,SOLIDO,PROCAPS
TOLTERODINA,TOLTERIN,SOLIDO,PROCAPS
TOLTERODINA,TOLTERODINE,SOLIDO,SEVEN PHARMA
TOLTERODINA,TOLTERODINA,SOLIDO,SEVEN PHARMA
TOLTERODINA,TOLTEDIX,SOLIDO,LAFRANCOL
ITRACONAZOL,CLOTRICAP,SOLIDO,GLENMARK
ITRACONAZOL,ITROL,SOLIDO,SUIPHAR
ITRACONAZOL,MICOTRAZOL,SOLIDO,BIOQUIFAR
ANASTROZOL,TRANAZ,SOLIDO,LEGRAND
ANASTROZOL,PRAZOLAR,SOLIDO,CIPLA
ANASTROZOL,ANASTROZOL,SOLIDO,PINT PHARMA
ANASTROZOL,ANASTROZOL DENK,SOLIDO,DENK PHARMA
ANASTROZOL,ANASTOLE,SOLIDO,HETERO
ANASTROZOL,HB ONCOCARE,SOLIDO,HB HUMAN BIOSCIENCE
ANASTROZOL,ANASTROZOL,SOLIDO,SEVEN PHARMA
ANASTROZOL,AIZOL,SOLIDO,NEXT PHARMA SOURCING
ANASTROZOL,ANASTROZOL,SOLIDO,FRESENIUS
ANASTROZOL,ANASTROZOL,SOLIDO,SANDOZ
ANASTROZOL,ANANA,SOLIDO,SUN PHARMACEUTICAL
ANASTROZOL,ARMISTRAZ,SOLIDO,PINT PHARMA
ANASTROZOL,TROZOLET,SOLIDO,MONTE VERDE
CARBAMAZEPINA,CARBAMAZEPINA,SOLIDO,LAPROFF
CARBAMAZEPINA,TEGRETOL RETARD,SOLIDO,NOVARTIS
CARBAMAZEPINA,CARBAMAZEPINA,SOLIDO,AMERICAN GENERICS
DESVENLAFAXINA,DESVE,SOLIDO,EUROFARMA
DESVENLAFAXINA,VENCONTROL,SOLIDO,SANOFI AVENTIS
DESVENLAFAXINA,DESVENLAFAXINA,SOLIDO,WINTHROP
DESVENLAFAXINA,DESVENLAFAXINA,SOLIDO,MK
RILUZOL,RILUZOL,SOLIDO,ACTIFARMA
TICAGRELOR,VASOGRELOR,SOLIDO,THE LABS
TICAGRELOR,TIARE,SOLIDO,MSN LABORATORIES PRIVATE
TICAGRELOR,TICAGREL,SOLIDO,ALKEM
ITRACONAZOL,ITRACONAZOL,LIQUIDO,CLINICOS Y HOSPITALARIOS
ITRACONAZOL,FUNGITRAL,LIQUIDO,SALUSPHARMA
CARBAMAZEPINA,CARBAMAZEPINA,LIQUIDO,BUSSIE
CARBAMAZEPINA,TEGRETOL,LIQUIDO,NOVARTIS
CARBAMAZEPINA,CARBAMAZEPINA,LIQUIDO,MEMPHIS
CARBAMAZEPINA,CARBEPIL,LIQUIDO,MATPRIFAR
TACROLIMUS,T,TACROLIMUS 45MG/15G (30MG/100G),TOPICA X 1
TACROLIMUS,T,TACROLIMUS 15MG/15G (100MG/100G),TOPICA X 1
TACROLIMUS,CROMUS,SEMISOLIDO,PROCAPS
LEVETIRACETAM,UBINONA,LIQUIDO,LAFRANCOL
LEVETIRACETAM,LEVETIRACETAM,LIQUIDO,CLINICOS Y HOSPITALARIOS
LEVETIRACETAM,CONVULAM,LIQUIDO,SALUSPHARMA
LEVETIRACETAM,ACIZAN,LIQUIDO,ALTADIS
LEVETIRACETAM,ICTAFIN,LIQUIDO,NOVAMED
LEVETIRACETAM,LEVETIRACETAM,LIQUIDO,WINTHROP
LEVETIRACETAM,KEPERTAN,LIQUIDO,AH ROBINS
LEVETIRACETAM,KOPODEX,LIQUIDO,SYNTHESIS
OXIDO,PULMONOX,GAS,MESSER
OXIDO,INOFLO,GAS,MESSER
OXIDO,NOXAP,GAS,CRYOGAS
RISPERIDONA,RISPERIDONA,LIQUIDO,SANOFI AVENTIS
RISPERIDONA,RISPERIDONA,LIQUIDO,SANDOZ
RISPERIDONA,SPIRON,LIQUIDO,ANDROMACO
BRIMONIDINA,BRIMOFTAL PF,LIQUIDO,TECNOFAR
BRIMONIDINA,GLAUCODINA,LIQUIDO,SALUS PHARMA
BRIMONIDINA,BRIMONIDINA TARTRATO,LIQUIDO,CAPLIN POINT
BRIMONIDINA,TARTRATO DE BRIMONIDINA,LIQUIDO,BIO ESTERIL
BRIMONIDINA,PRESSOFTALM SOFT,LIQUIDO,BIO ESTERIL
TIMOLOL,TIMOPRES,LIQUIDO,SCANDINAVIA PHARMA
TIMOLOL,TIMOPTOL,LIQUIDO,MUNDIPHARMA
TIMOLOL,TIMOLOL,LIQUIDO,MEMPHIS
TIMOLOL,TIMOLOL MALEATO,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS
TIMOLOL,SYVIMOL,LIQUIDO,SYV PHARMA
TIMOLOL,OCUPRESS,LIQUIDO,FARMASER
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 100
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 50
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 25
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 16
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 12
TIMOLOL,TIMOL,TIMOLOL 25MG/5ML (5MG/1ML),OFTALMICA X 1
TIMOLOL,TIOF,LIQUIDO,SAVAL
TIMOLOL,OFTIMEX,LIQUIDO,BIOCHEM
TIMOLOL,GLAUCOPHARM,LIQUIDO,OPHARM
TIMOLOL,TIMOLET,LIQUIDO,LABORATORIOS RICHMOND
TIMOLOL,OFTALMOTRILOL,LIQUIDO,INCOBRA
TIMOLOL,PRESTIBLOCK,LIQUIDO,BLASKOV
TIMOLOL,MALEATO,LIQUIDO,MEMPHIS
TIMOLOL,OFEPRESS,LIQUIDO,VISIONEX
TIMOLOL,TIMOLOL,LIQUIDO,TECNOQUIMICAS
TIMOLOL,TIMOLOL,LIQUIDO,LA SANTE
LATANOPROST,CLIROPTA,LIQUIDO,BAUSCH
LATANOPROST,KAIROS PF,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS
LATANOPROST,BALANPROST,LIQUIDO,BALANCE
LATANOPROST,OFTIDON,LIQUIDO,SYNTHESIS
LATANOPROST,GLAUCOFTAL,LIQUIDO,TECNOQUIMICAS
BIMATOPROST,CAREPROST,LIQUIDO,SUN PHARMACEUTICAL
BIMATOPROST,BIMAPROS,LIQUIDO,TECNOQUIMICAS
BIMATOPROST,VISIONGAN,LIQUIDO,VITALIS
TRAVOPROST,TRAVATAN,LIQUIDO,ALCON
TRAVOPROST,FOCUS,LIQUIDO,SYNTHESIS
TRAVOPROST,TRAVIPROST,LIQUIDO,VITALIS
DORZOLAMIDA,TRUSOPT,LIQUIDO,MUNDIPHARMA
DORZOLAMIDA,DORZOLAM,LIQUIDO,TECNOQUIMICAS
DORZOLAMIDA,DORCOGLAT,LIQUIDO,PROFMA
MEMANTINA,NORMOKIN,SOLIDO,SOLUCIONES INTEGRALES REGULATORIAS
MEMANTINA,NORMOKIN,SOLIDO,ACHE LABORATORIOS FARMACEUTICOS
MEMANTINA,MEMANTINA,SOLIDO,BIOGARAN
MEMANTINA,BIOGARAN,SOLIDO,BIOGARAN
MEMANTINA,MEMANTINA CLORHIDRATO,SOLIDO,LAPROFF
MEMANTINA,MEMOXIL,SOLIDO,LABORATORIOS RICHMOND
MEMANTINA,MEMANTINA,SOLIDO,SALUSPHARMA
MEMANTINA,DINIVE,SOLIDO,ALTADIS
MEMANTINA,MEMDRIVE,SOLIDO,AUROBINDO
MEMANTINA,MEMOREX,SOLIDO,NOVAMED
MEMANTINA,ADMENTA,SOLIDO,SUN PHARMACEUTICAL
MEMANTINA,MODUALZ,SOLIDO,TECNOQUIMICAS
MEMANTINA,ALZANTINA,SOLIDO,SALUSPHARMA
MEMANTINA,MERITAL,SOLIDO,SIEGFRIED
MEMANTINA,MEMANTINA,SOLIDO,WINTHROP
MEMANTINA,VALCOX,SOLIDO,SCANDINAVIA PHARMA
MEMANTINA,TIMANTIL,SOLIDO,PROCAPS
MEMANTINA,CORDURE,SOLIDO,BUSSIE
RISPERIDONA,RISPERDAL CONSTA,LIQUIDO/SOLIDO,JANSSEN
RISPERIDONA,RISPERDAL,LIQUIDO/SOLIDO,JANSSEN
RISPERIDONA,ZYRISP,SOLIDO,LA SANTE
RISPERIDONA,ISPERIN,SOLIDO,MOMENTA
RISPERIDONA,RISOX,SOLIDO,LAFRANCOL
RISPERIDONA,RISOX O.D.,SOLIDO,LAFRANCOL
RISPERIDONA,RISNIA,SOLIDO,CIPLA
RISPERIDONA,RISPERIDONA,SOLIDO,BRAINPHARMA
RISPERIDONA,RISDONA,SOLIDO,HUMAX
RISPERIDONA,RISPOLUX,SOLIDO,SANDOZ
RISPERIDONA,SPIRON,SOLIDO,ANDROMACO
RISPERIDONA,PROCAPS ISPERIN,SOLIDO,PROCAPS
RISPERIDONA,PROCAPS,SOLIDO,PROCAPS
RISPERIDONA,ISPERIN,SOLIDO,PROCAPS
RISPERIDONA,RISOFREN,SOLIDO,BLUEPHARMA
RISPERIDONA,TRACTAL,SOLIDO,SCANDINAVIA PHARMA
TIOTROPIO,NEUMOTROPIO,SOLIDO,EXELTIS
TIOTROPIO,TIOZIDE CAPSUBRRISS,SOLIDO,CIPLA
TIOTROPIO,BROMURO DE TIOTROPIO,SOLIDO,BIOSYNTEC
TIOTROPIO,TEROMA,SOLIDO,BIOTOSCANA
TIOTROPIO,TIOSYNT,SOLIDO,BCN MEDICAL
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,CAPLIN
TIGECICLINA,EXPOCICLINA,LIQUIDO/SOLIDO,RICHMOND
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,NEXT PHARMA SOURCING
TIGECICLINA,TIGEVITAE,LIQUIDO/SOLIDO,GALENICUM HEALTH
TIGECICLINA,GECLIX,LIQUIDO/SOLIDO,XINETIX PHARMA
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,SETAA
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,SANDOZ
TIGECICLINA,LINICETIL,LIQUIDO/SOLIDO,PISA
TIGECICLINA,TIGLEX,LIQUIDO/SOLIDO,GALENICUM HEALTH
TIGECICLINA,TIGECICLINA,LIQUIDO/SOLIDO,PROCLIN
TIGECICLINA,TIGECIC,LIQUIDO/SOLIDO,VITALIS
TIGECICLINA,TIGECLIN,LIQUIDO/SOLIDO,PROCAPS
TIGECICLINA,TYGACIL,LIQUIDO/SOLIDO,PFIZER
DORIPENEM,DORIPENEM,LIQUIDO/SOLIDO,COMERCIAL MEDICA
DORIPENEM,REDIDOR,LIQUIDO/SOLIDO,DR REDDYS
DORIPENEM,DOREXTRA,LIQUIDO/SOLIDO,VITALIS
DORIPENEM,DORILEG,LIQUIDO/SOLIDO,LEGRAND
DORIPENEM,DORIPURE,LIQUIDO/SOLIDO,AUROBINDO
DORIPENEM,TESARE,LIQUIDO/SOLIDO,XINETIX PHARMA
DORIPENEM,DORVAK,LIQUIDO/SOLIDO,VICAR
DORIPENEM,DORIBAX,LIQUIDO/SOLIDO,TAKEDA
MOXIFLOXACINA,PIXIRIV,LIQUIDO/SOLIDO,PISA
MOXIFLOXACINA,BEOMAX,LIQUIDO/SOLIDO,BIOFLUIDOS & FARMA
ENFUVIRTIDE,FUZEON,LIQUIDO/SOLIDO,ROCHE
PRASUGREL,PERKUNAL,SOLIDO,SCANDINAVIA PHARMA
FLUDARABINA,FLUDARA,LIQUIDO/SOLIDO,GENZYME
FLUDARABINA,ALDARABINA,LIQUIDO/SOLIDO,AL PHARMA
FLUDARABINA,FORCLINA 50,LIQUIDO/SOLIDO,LKM
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,KEMEX
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,BLAU
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,UNIPHARM
FLUDARABINA,LUDABINA,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,LIBRA
VALPROICO,ATEMPERATOR,SOLIDO,ARMSTRONG
VALPROICO,FERBIN,SOLIDO,NOVAMED
VALPROICO,DEPAKENE,SOLIDO,LAFRANCOL
VALPROICO,VALCOTE ER,SOLIDO,LAFRANCOL
VALPROICO,DICORATE,SOLIDO,SUN PHARMACEUTICAL
VALPROICO,VALPROSID,SOLIDO,BAGO
VALPROICO,DRUGTECH NEURACTIN,SOLIDO,SYNTHESIS
VALPROICO, VALPROICO,SOLIDO,LABMEDICK
VALPROICO,VALSUP,SOLIDO,SIEGFRIED
PAZOPANIB,VOTRIENT,SOLIDO,NOVARTIS
VORICONAZOL,SIVOZ,SOLIDO,LEGRAND
VORICONAZOL,OVICAZOL,SOLIDO,STEIN
VORICONAZOL,VORIOLE,SOLIDO,MSN LABORATORIES PRIVATE
VORICONAZOL,NEUCLER,SOLIDO,PROCAPS
VORICONAZOL,INVOTAS,SOLIDO,INTAS
VORICONAZOL,VORICOX,SOLIDO,LAFRANCOL
VORICONAZOL,VFEND,SOLIDO,PFIZER
NOMEGESTROL,FEMIDEN,SOLIDO,GADOR
NOMEGESTROL,FEMYPILL,SOLIDO,PROFAMILIA
NOMEGESTROL,NATUREL FEMME,SOLIDO,ANDROMACO
NOMEGESTROL,VENUXIA,SOLIDO,LAFRANCOL
DESMOPRESINA,DICPRESINA,LIQUIDO,ORPHANPHARMA
DESMOPRESINA,DESMOPRESINA,LIQUIDO,PISA
DESMOPRESINA,DESMOPRESIN,LIQUIDO,FERRING
DESMOPRESINA,EMOSINT,LIQUIDO/SOLIDO,KEDRION
POSACONAZOL,NOXAFIL,LIQUIDO,MERCK SHARP DOME
OXCARBAZEPINA,OXCARBAZEPINA,SOLIDO,BRAINPHARMA
OXCARBAZEPINA,OXCAR,SOLIDO,PINT PHARMA
OXCARBAZEPINA,OXICODAL,SOLIDO,SYNTHESIS
OXCARBAZEPINA,LONAZET,SOLIDO,LEGRAND
DOMPERIDONA,DOMPERIX,SOLIDO,EUROFARMA
DOMPERIDONA,ISEDRON,SOLIDO,JOINPHARM
DOMPERIDONA,DOMPERIDONA,SOLIDO,BLASKOV
MOMETASONA,NASONEX,LIQUIDO,MERCK SHARP DOME
MOMETASONA,FUROMET,LIQUIDO,GLENMARK
MOMETASONA,MOMENASE,LIQUIDO,CIPLA
MOMETASONA,RINAID,LIQUIDO,TECNOQUIMICAS
MOMETASONA,MOMETASYN,LIQUIDO,SYNTHESIS
MOMETASONA,METASPRAY,LIQUIDO,NOVAMED
MOMETASONA,FUROATO,LIQUIDO,TECNOFAR
MOMETASONA,FUROATO,LIQUIDO,LA SANTE
MOMETASONA,GARMISCH RINOSAL,LIQUIDO,SCANDINAVIA PHARMA
MOMETASONA,PROCAPS,LIQUIDO,PROCAPS
MOMETASONA,MOMETASONA,LIQUIDO,COLMED
MOMETASONA,RINOSONA,LIQUIDO,BLASKOV
MOMETASONA,BIOMETASONA,LIQUIDO,BIOTOSCANA
MOMETASONA,RINOBUDEX,LIQUIDO,LAFRANCOL
ATORVASTATINA,EZETIMIBE/ATORVASTATINA,SOLIDO,MK
ATORVASTATINA,TIAZOMET,SOLIDO,SIEGFRIED
ATORVASTATINA,GARMISCH COLESTIR,SOLIDO,SCANDINAVIA PHARMA
ATORVASTATINA,COLMIBE,SOLIDO,FARMACEUTICA PARAGUAYA
ATORVASTATINA,EZATOR,SOLIDO,LAFRANCOL
IXABEPILONA,IXEMPRA,LIQUIDO/SOLIDO,R
IBANDRONICO,IBANDRON,LIQUIDO/SOLIDO,XINETIX PHARMA
IBANDRONICO,BONESE,LIQUIDO/SOLIDO,PROCAPS
IBANDRONICO,DRONIBAN,LIQUIDO/SOLIDO,PROCAPS
IBANDRONICO,BANDRO,LIQUIDO/SOLIDO,VITALIS
ERITROPOYETINA,EPOYET,SOLIDO,BIOSIDUS
ERITROPOYETINA,ERITROMAX,SOLIDO,BLAU
ERITROPOYETINA,EPOYET 1000,SOLIDO,BIOSIDUS
ERITROPOYETINA,ERITROMAX,LIQUIDO,BLAU
ERITROPOYETINA,ERITROPOYETINA,LIQUIDO,CENTRO DE INMUNOLOGIA MOLECULAR
ERITROPOYETINA,ERITROPOYETINA,LIQUIDO,SCANDINAVIA PHARMA
ERITROPOYETINA,ERITROPOYETINA HUMANA RECOMBINANTE,LIQUIDO,CIMAB
ERITROPOYETINA,ERITROPOYETINA,LIQUIDO,CIMAB
ERITROPOYETINA,RECORMON,LIQUIDO,ROCHE
ERITROPOYETINA,ERITINA,LIQUIDO,DONG A
ERITROPOYETINA,EPOYET,LIQUIDO,BIOSIDUS
SOMATOSTATINA,DELT-SOMAT,LIQUIDO/SOLIDO,DELTA
SOMATOSTATINA,SOMATIN,LIQUIDO/SOLIDO,LYOMARK PHARMA
ERTAPENEM,ERTAPENEM,LIQUIDO/SOLIDO,VICARFARMACEUTICA
ERTAPENEM,IRTAPRED,LIQUIDO/SOLIDO,DR REDDY
ERTAPENEM,ERTAGRAM,LIQUIDO/SOLIDO,AUROBINDO
ERTAPENEM,ERTACQURE 1G,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL
ERTAPENEM,INVANZ,LIQUIDO/SOLIDO,MERCK SHARP DOME
CLOFARABINA,METISA,LIQUIDO/SOLIDO,LEGRAND
CLOFARABINA,FARABIN,LIQUIDO/SOLIDO,XINETIX PHARMA
CLOFARABINA,RELUKA,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE
CLOFARABINA,CLOFICRIS,LIQUIDO/SOLIDO,LKM
CLOFARABINA,CLOFAZIC,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA
CLOFARABINA,CLOLAR,LIQUIDO/SOLIDO,GENZYME
FILGRASTIM,NEUPOGEN,LIQUIDO/SOLIDO,AMGEN
FILGRASTIM,BIOFIGRAN,LIQUIDO/SOLIDO,BIOSIDUS
FILGRASTIM,ZARZIO,LIQUIDO/SOLIDO,SANDOZ
FILGRASTIM,FILGRASTIM,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA
VALPROICO,VALCOTE,LIQUIDO/SOLIDO,LAFRANCOL
VALPROICO, VALPROICO,LIQUIDO/SOLIDO,ADS PHARMA
VALPROICO,PROVALNOVA,LIQUIDO/SOLIDO,CAMBRIDGE
CAFEINA,CAFEINNOVA,LIQUIDO/SOLIDO,HUMAX
CAFEINA,CAFEIN,LIQUIDO/SOLIDO,ANKH AND RODERICK
CAFEINA,CAF CLIN,LIQUIDO/SOLIDO,PROCLIN
CAFEINA,PEYONA,LIQUIDO/SOLIDO,CHIESI
CAFEINA,CAFNEA,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC
CAFEINA,TICAFF,LIQUIDO/SOLIDO,LASMA
TRIPTORELIN,DECAPEPTYL,SOLIDO,DEBIOPHARM
TRIPTORELIN,GONAPEPTYL,SOLIDO,FERRING
TRIPTORELIN,DIPHERELINE,SOLIDO,IPSEN
LEVONORGESTREL,FLUCEIN,SOLIDO,PAULY
LEVONORGESTREL,EMERGYN,SOLIDO,LAFRANCOL
LEVONORGESTREL,EMERGYN,SOLIDO,PAULY
LEVONORGESTREL,LEVONOR,SOLIDO,BCN MEDICAL
LEVONORGESTREL,MICROLUT,SOLIDO,BAYER
LEVETIRACETAM,CEUMID,LIQUIDO/SOLIDO,MEGALABS
LEVETIRACETAM,KEPPRA,LIQUIDO/SOLIDO,GLAXOSMITHKLINE
LACOSAMIDA,LACOLEP,SOLIDO,GENLAB
LACOSAMIDA,LACOSAMIDA,SOLIDO,CLINICOS Y HOSPITALARIOS DE COLOMBIA
LACOSAMIDA,LENIZAD50,SOLIDO,CADILA
LACOSAMIDA,APILEP,SOLIDO,LAFRANCOL
LACOSAMIDA,LAKOMID,SOLIDO,BECHEMICAL
LACOSAMIDA,LACOSAMIDA,SOLIDO,CLINICOS Y HOSPITALARIOS
LACOSAMIDA,LANCOVUL,SOLIDO,HETERO
LACOSAMIDA,NEUROMID,SOLIDO,LEGRAND
LACOSAMIDA,LACOSAMIDA,SOLIDO,SANOFI AVENTIS
LACOSAMIDA,LACOTEM,SOLIDO,MONTE VERDE
LACOSAMIDA,BENVIDA,SOLIDO,BIOPAS
METOPROLOL,CARPROL LS,SOLIDO,HUMAX
METOPROLOL,CARPROL,SOLIDO,HUMAX
METOPROLOL,PREZOC,SOLIDO,PROCAPS
MEDROXIPROGESTERONA,CYCLOFEMINA,LIQUIDO/SOLIDO,AULEN
MEDROXIPROGESTERONA,FEMELIN,LIQUIDO/SOLIDO,AMERICAN GENERICS
DARUNAVIR,DARUNAVIR,SOLIDO,CLINICOS Y HOSPITALARIOS DE COLOMBIA
RITONAVIR,RETROFEROL,SOLIDO,THE LABS
RITONAVIR,RITOVIR,SOLIDO,HUMAX
RITONAVIR,RITONAVIR,SOLIDO,CLINICOS Y HOSPITALARIOS
RITONAVIR,RITONAVIR,SOLIDO,SALUSPHARMA
RITONAVIR,TONAVIR,SOLIDO,HETERO
RITONAVIR,RINAVO,SOLIDO,MYLAN
RITONAVIR,NORVIR,SOLIDO,ABBOTT  / ABBVIE
RITONAVIR,RITONAX,SOLIDO,BIOTOSCANA
RITONAVIR,RITONAX MEM,SOLIDO,CIPLA
MOXIFLOXACINA,OFTAMOX UD,LIQUIDO,TECNOFAR
MOXIFLOXACINA,MOXILAB,LIQUIDO,I LAB
MOXIFLOXACINA,MOXOF,LIQUIDO,SAVAL
MOXIFLOXACINA,OFTALMOTRIMOX,LIQUIDO,INCOBRA
MOXIFLOXACINA,MOXIPHARM,LIQUIDO,OPHARM
MOXIFLOXACINA,FLOXMA,LIQUIDO,XINETIX PHARMA
MOXIFLOXACINA,MOXFLODEL,LIQUIDO,WILLOW
MOXIFLOXACINA,OFTAMOX,LIQUIDO,TECNOQUIMICAS
MOXIFLOXACINA,QUIMOX,LIQUIDO,ESPECIALIDADES OFTMALMOLOGICAS
MOXIFLOXACINA,VIGAMOX,LIQUIDO,NOVARTIS
TOFACITINIB,XELJANZ,SOLIDO,PFIZER
SECUKINUMAB,COSENTYX,LIQUIDO/SOLIDO,NOVARTIS
TELMISARTAN,GLENMARK TELMA,SOLIDO,GLENMARK
TELMISARTAN,TEMIFORCE,SOLIDO,IPCA
TELMISARTAN,TELMISARTAN,SOLIDO,WILLOW
TELMISARTAN,ZILPEN,SOLIDO,ALTADIS
TELMISARTAN,CARDIXIL,SOLIDO,PROCAPS
TELMISARTAN,TELMISARTAN,SOLIDO,TECNOQUIMICAS
TELMISARTAN,TEMILTAR,SOLIDO,HETERO
