Nombre del producto farmacéutico,Tipo de fármaco,Nombre del laboratorio ofertante,Estado,Aportación del beneficiario,Principio activo o asociación de principios activos,Precio venta con IVA_Euros,Nombre de la agrupación homogénea del producto sanitario,Diagnóstico hospitalario,Tratamiento de larga duración,Especial control médico,Medicamento huérfano
"EUCREAS 50 mg/1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA, 60 comprimidos (PA/A/PVC/All)",Medicamento Etica,"MELYFARMA, S.L.",ALTA,ESPECIAL,"VILDAGLIPTINA,METFORMINA HIDROCLORURO",36.19,METFORMINA/VILDAGLIPTINA 1000MG/50MG  60 COMPRIMIDOS,NO,NO,NO,NO
"EUCREAS 50 mg/1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA, 60 comprimidos (PCTFE/PVC/Al)",Medicamento Etica,"MELYFARMA, S.L.",ALTA,ESPECIAL,"VILDAGLIPTINA,METFORMINA HIDROCLORURO",36.19,METFORMINA/VILDAGLIPTINA 1000MG/50MG  60 COMPRIMIDOS,NO,NO,NO,NO
"AMOXICILINA ALTER 500 MG CAPSULAS DURAS EFG, 20 capsulas",Medicamento Generico,ALTER S.A.,ALTA,NORMAL,AMOXICILINA TRIHIDRATO,2.5,AMOXICILINA 500 MG 20 CAPSULAS,NO,NO,NO,NO
"AMOXICILINA ALTER 500 MG CAPSULAS DURAS EFG, 30 capsulas",Medicamento Generico,ALTER S.A.,ALTA,NORMAL,AMOXICILINA TRIHIDRATO,2.86,AMOXICILINA 500 MG 30 CAPSULAS,NO,NO,NO,NO
"INHIXA 12.000 UI (120 MG) / 0,8 ML SOLUCION INYECTABLE, 10 jeringas precargadas con solucion inyectable",Medicamento Etica,"TECHDOW PHARMA SPAIN, S.L.",ALTA,ESPECIAL,ENOXAPARINA SODICA,86.05,,NO,NO,NO,NO
"INHIXA 12.000 UI (120 MG) / 0,8 ML SOLUCION INYECTABLE, 30 jeringas precargadas con solucion inyectable",Medicamento Etica,"TECHDOW PHARMA SPAIN, S.L.",ALTA,ESPECIAL,ENOXAPARINA SODICA,219.73,,NO,NO,NO,NO
"INHIXA 15.000 UI (150 MG) / 1 ML SOLUCION INYECTABLE, 10 jeringas precargadas de 1 ml",Medicamento Etica,"TECHDOW PHARMA SPAIN, S.L.",BAJA POR NO COMERCIALIZAR,ESPECIAL,ENOXAPARINA SODICA,107.56,,NO,NO,NO,NO
"INHIXA 15.000 UI (150 MG) / 1 ML SOLUCION INYECTABLE, 30 jeringas precargadas de 1 ml",Medicamento Etica,"TECHDOW PHARMA SPAIN, S.L.",ALTA,ESPECIAL,ENOXAPARINA SODICA,267.92,,NO,NO,NO,NO
"FLIXONASE  50 microgramos/pulverizacion, SUSPENSION PARA PULVERIZACION NASAL, 1 frasco de 120 dosis",Medicamento Etica,"DIFARMED, S.L.U",ALTA,NORMAL,FLUTICASONA PROPIONATO,11.18,,NO,NO,NO,NO
"DYMISTA 137 MICROGRAMOS/50 MICROGRAMOS/APLICACION SUSPENSION PARA PULVERIZACION NASAL, frasco de 23 g (120 pulverizaciones)",Medicamento Etica,"DIFARMED, S.L.U",ALTA,NORMAL,"AZELASTINA HIDROCLORURO,FLUTICASONA PROPIONATO",15.61,FLUTICASONA/AZELASTINA 50MCG/137MCG/DOSIS 120 PULVERIZACIONES NASALES,NO,NO,NO,NO
"AGOMELATINA VISO FARMACEUTICA 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos",Medicamento Generico,"VISO FARMACEUTICA, S.L.",BAJA POR NO COMERCIALIZAR,ESPECIAL,AGOMELATINA,30.66,AGOMELATINA 25MG 28 COMPRIMIDOS,NO,NO,NO,NO
ZONESME 200 MG CAPSULAS DURAS 28 capsulas (Al/Al/Poliamida-PVC),Medicamento Etica,"ADAMED LABORATORIOS, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,ZONISAMIDA,77.59,ZONISAMIDA 200MG 28 CAPSULAS,NO,NO,NO,NO
TRAMADOL KRKA 100 MG/ML GOTAS ORALES EN SOLUCION EFG 1 frasco de10 ml,Medicamento Generico,"KRKA FARMACEUTICA, S.L.",BAJA GENERAL,NORMAL,TRAMADOL HIDROCLORURO,3.18,TRAMADOL 100MG/ML 10ML SOLUCION/SUSPENSION GOTAS ORALES,NO,NO,NO,NO
TRAMADOL KRKA 100 MG/ML GOTAS ORALES EN SOLUCION EFG 1 frasco de 30 ml,Medicamento Generico,"KRKA FARMACEUTICA, S.L.",BAJA GENERAL,NORMAL,TRAMADOL HIDROCLORURO,9.54,TRAMADOL 100MG/ML 30ML SOLUCION/SUSPENSION GOTAS ORALES,NO,NO,NO,NO
"PARIET 20 mg  COMPRIMIDOS GASTRORRESISTENTES, 28 comprimidos",Medicamento Etica,"ECOFAR PRODUCTOS, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,RABEPRAZOL SODICO,24.37,RABEPRAZOL 20MG 28 COMPRIMIDOS ENTERICOS/GASTRORRESISTENTES,NO,NO,NO,NO
"IBIS 20 mg COMPRIMIDOS, 20 comprimidos",Medicamento Etica,"ECOFAR PRODUCTOS, S.L.",ALTA,NORMAL,BILASTINA,6.99,BILASTINA 20 MG 20 COMPRIMIDOS,NO,NO,NO,NO
"REPAGLINIDA AUROVITAS 0,5 MG COMPRIMIDOS EFG 90 comprimidos",Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,ESPECIAL,REPAGLINIDA,2.79,"REPAGLINIDA 0,5 MG 90 COMPRIMIDOS",NO,NO,NO,NO
REPAGLINIDA AUROVITAS 1 MG COMPRIMIDOS EFG 90 comprimidos,Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,ESPECIAL,REPAGLINIDA,5.59,REPAGLINIDA 1 MG 90 COMPRIMIDOS,NO,NO,NO,NO
REPAGLINIDA AUROVITAS 2 MG COMPRIMIDOS EFG 90 comprimidos,Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,ESPECIAL,REPAGLINIDA,11.18,REPAGLINIDA 2 MG 90 COMPRIMIDOS,NO,NO,NO,NO
ARIPIPRAZOL AUROVITAS 1 MG/ML SOLUCION ORAL EFG 1 frasco de 150 ml,Medicamento Generico,"AUROVITAS SPAIN, S.A.U",ALTA,ESPECIAL,ARIPIPRAZOL,25.66,ARIPIPRAZOL 1MG/ML 150 ML SOLUCION/SUSPENSION ORAL,NO,NO,NO,NO
"VERSATIS 700 MG APOSITO ADHESIVO MEDICAMENTOSO, 20 apositos",Medicamento Etica,"DIFARMED, S.L.U",ALTA,NORMAL,LIDOCAINA,77.94,LIDOCAINA 700 MG 20 APOSITOS,NO,NO,NO,NO
"VERSATIS 700 MG APOSITO ADHESIVO MEDICAMENTOSO, 30 apositos",Medicamento Etica,"DIFARMED, S.L.U",ALTA,NORMAL,LIDOCAINA,116.91,LIDOCAINA 700 MG 30 APOSITOS,NO,NO,NO,NO
"FULVESTRANT SUN 250 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA EFG, 1 jeringa precargada de 5 ml",Medicamento Generico,"SUN PHARMA LABORATORIOS, S.L",ALTA,ESPECIAL,FULVESTRANT,225.7,FULVESTRANT 250MG 1 INYECTABLE GENERAL INTRAMUSCULAR,NO,NO,NO,NO
"DUOXONA 10 MG/5 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,NORMAL,"OXICODONA HIDROCLORURO,NALOXONA HIDROCLORURO DIHIDRATO",25.38,OXICODONA/NALOXONA 10MG/5MG 56 COMPRIMIDOS LIBERACION MODIFICADA,NO,NO,NO,NO
"DUOXONA 30 MG/15 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,NORMAL,"OXICODONA HIDROCLORURO,NALOXONA HIDROCLORURO DIHIDRATO",76.15,OXICODONA/NALOXONA 30MG/15MG 56 COMPRIMIDOS LIBERACION MODIFICADA,NO,NO,NO,NO
"DUOXONA 5 MG/2,5 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,NORMAL,"OXICODONA HIDROCLORURO,NALOXONA HIDROCLORURO DIHIDRATO",12.69,"OXICODONA/NALOXONA 5MG/2,5MG 56 COMPRIMIDOS LIBERACION MODIFICADA",NO,NO,NO,NO
"DUOXONA 40 MG/20 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,NORMAL,"OXICODONA HIDROCLORURO,NALOXONA HIDROCLORURO DIHIDRATO",101.53,OXICODONA/NALOXONA 40MG/20MG 56 COMPRIMIDOS LIBERACION MODIFICADA,NO,NO,NO,NO
"DUOXONA 20 MG/10 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 56 comprimidos",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,NORMAL,"NALOXONA HIDROCLORURO DIHIDRATO,OXICODONA HIDROCLORURO",50.77,OXICODONA/NALOXONA 20MG/10MG 56 COMPRIMIDOS LIBERACION MODIFICADA,NO,NO,NO,NO
"KREON 35.000 U CAPSULAS DURAS GASTRORRESISTENTES, 100 capsulas",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,ESPECIAL,PANCREATINA,71.81,,SI,NO,NO,NO
METFORMINA KERN PHARMA 1000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 30 comprimidos,Medicamento Generico,"KERN PHARMA, S.L.",ALTA,ESPECIAL,METFORMINA HIDROCLORURO,1.86,METFORMINA 1000 MG 30 COMPRIMIDOS,NO,NO,NO,NO
METFORMINA KERN PHARMA 1000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 50 comprimidos,Medicamento Generico,"KERN PHARMA, S.L.",ALTA,ESPECIAL,METFORMINA HIDROCLORURO,2.5,METFORMINA 1000 MG 50 COMPRIMIDOS,NO,NO,NO,NO
METFORMINA KERN PHARMA 850 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 50 comprimidos,Medicamento Generico,"KERN PHARMA, S.L.",ALTA,ESPECIAL,METFORMINA HIDROCLORURO,1.94,METFORMINA 850 MG 50 COMPRIMIDOS,NO,NO,NO,NO
METFORMINA NORMON 850 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 50 comprimidos,Medicamento Generico,NORMON S.A.,ALTA,ESPECIAL,METFORMINA HIDROCLORURO,1.94,METFORMINA 850 MG 50 COMPRIMIDOS,NO,NO,NO,NO
METFORMINA VIR 1000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 50 comprimidos,Medicamento Generico,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ESPECIAL,METFORMINA HIDROCLORURO,2.5,METFORMINA 1000 MG 50 COMPRIMIDOS,NO,NO,NO,NO
METFORMINA NORMON 1000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 30 comprimidos,Medicamento Generico,NORMON S.A.,ALTA,ESPECIAL,METFORMINA HIDROCLORURO,1.86,METFORMINA 1000 MG 30 COMPRIMIDOS,NO,NO,NO,NO
METFORMINA NORMON 1000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 50 comprimidos,Medicamento Generico,NORMON S.A.,ALTA,ESPECIAL,METFORMINA HIDROCLORURO,2.5,METFORMINA 1000 MG 50 COMPRIMIDOS,NO,NO,NO,NO
"PRITOR 80 mg COMPRIMIDOS, 28 comprimidos",Medicamento Etica,"MELYFARMA, S.L.",ALTA,ESPECIAL,TELMISARTAN,19.97,TELMISARTAN 80 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"MICARDIS 80 mg COMPRIMIDOS, 28 comprimidos",Medicamento Etica,"MELYFARMA, S.L.",ALTA,ESPECIAL,TELMISARTAN,19.97,TELMISARTAN 80 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"CICLOSEB 15 MG/G CHAMPU, 1 frasco de 100 ml",Medicamento Etica,"GALENICUM DERMA, S.L.",ALTA,NORMAL,CICLOPIROX OLAMINA,12.57,CICLOPIROX 15MG/G 100 ML CHAMPU,NO,NO,NO,NO
"TRANXILIUM 10 mg CAPSULAS DURAS, 30 capsulas",Medicamento Etica,"NEURAXPHARM SPAIN, S.L.U",ALTA,NORMAL,CLORAZEPATO DIPOTASIO,1.53,CLORAZEPATO DE  POTASIO  10 MG 30 CAPSULAS,NO,NO,NO,NO
"DOPRILTEN 27 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 30 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,METILFENIDATO HIDROCLORURO,17.59,METILFENIDATO 27MG 30 COMPRIMIDOS LIBERACION MODIF (22%_78%),NO,NO,NO,NO
"DOPRILTEN 18 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 30 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,METILFENIDATO HIDROCLORURO,11.74,METILFENIDATO 18MG 30 COMPRIMIDOS LIBERACION MODIF (22%_78%),NO,NO,NO,NO
"DOPRILTEN 36 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 30 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,METILFENIDATO HIDROCLORURO,23.46,METILFENIDATO 36MG 30 COMPRIMIDOS LIBERACION MODIF (22%_78%),NO,NO,NO,NO
"DOPRILTEN 54 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 30 comprimidos",Medicamento Generico,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,NORMAL,METILFENIDATO HIDROCLORURO,35.2,METILFENIDATO 54MG 30 COMPRIMIDOS LIBERACION MODIF (22%_78%),NO,NO,NO,NO
"VELMETIA 50 mg/1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA, 56 comprimidos",Medicamento Etica,"MELYFARMA, S.L.",ALTA,ESPECIAL,"METFORMINA HIDROCLORURO,SITAGLIPTINA",28.71,METFORMINA/SITAGLIPTINA 1000MG/50MG 56 COMPRIMIDOS,NO,NO,NO,NO
STRANTAS 250 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA EFG 2 jeringas precargadas de 5 ml + 2 agujas,Medicamento Generico,"ACCORD HEALTHCARE, S.L.U",ALTA,ESPECIAL,FULVESTRANT,408.86,FULVESTRANT 250MG 2 INYECTABLE GENERAL INTRAMUSCULAR,NO,NO,NO,NO
"TRANXILIUM 15 mg CAPSULAS DURAS, 20 capsulas",Medicamento Etica,"NEURAXPHARM SPAIN, S.L.U",ALTA,NORMAL,CLORAZEPATO DIPOTASIO,1.47,CLORAZEPATO DE  POTASIO  15 MG 20 CAPSULAS,NO,NO,NO,NO
"PRAMEP 100 MG CAPSULAS DURAS EFG, 84 capsulas",Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,PREGABALINA,29.41,PREGABALINA 100MG 84 CAPSULAS,NO,NO,NO,NO
"PRAMEP 150 MG CAPSULAS DURAS EFG, 56 capsulas",Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,PREGABALINA,29.41,PREGABALINA 150MG 56 CAPSULAS,NO,NO,NO,NO
"PRAMEP 200 MG CAPSULAS DURAS EFG, 84 capsulas",Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,PREGABALINA,58.82,PREGABALINA 200MG 84 CAPSULAS,NO,NO,NO,NO
"PRAMEP 25 MG CAPSULAS DURAS EFG, 56 capsulas",Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,PREGABALINA,4.9,PREGABALINA 25MG 56 CAPSULAS,NO,NO,NO,NO
"PRAMEP 300 MG CAPSULAS DURAS EFG, 56 capsulas",Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,PREGABALINA,58.82,PREGABALINA 300MG 56 CAPSULAS,NO,NO,NO,NO
"PRAMEP 50 MG CAPSULAS DURAS EFG, 56 capsulas",Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,PREGABALINA,9.8,PREGABALINA 50MG 56 CAPSULAS,NO,NO,NO,NO
"PRAMEP 75 MG CAPSULAS DURAS EFG, 56 capsulas",Medicamento Generico,"STADA, S.L",ALTA,ESPECIAL,PREGABALINA,14.71,PREGABALINA 75MG 56 CAPSULAS,NO,NO,NO,NO
"CEFTRIAXONA QILU 1 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG, 1 vial",Medicamento Generico,"SUN PHARMA LABORATORIOS, S.L",ALTA,NORMAL,CEFTRIAXONA SODICA,2.5,CEFTRIAXONA 1000 MG 1 INYECTABLE GENERAL INTRAVENOSA,SI,NO,NO,NO
"FEBUXOSTAT COMBIX 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos (Blister PVC/Aclar-Al)",Medicamento Generico,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,FEBUXOSTAT,19.84,FEBUXOSTAT 120 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"FEBUXOSTAT COMBIX 80 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 28 comprimidos (Blister PVC/Aclar-Al)",Medicamento Generico,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,ESPECIAL,FEBUXOSTAT,13.22,FEBUXOSTAT 80 MG 28 COMPRIMIDOS,NO,NO,NO,NO
"QUETIAPINA NORMON 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,60 comprimidos",Medicamento Generico,NORMON S.A.,ALTA,ESPECIAL,QUETIAPINA FUMARATO,8.1,QUETIAPINA 25 MG 60 COMPRIMIDOS,NO,NO,NO,NO
AMOXICILINA/ACIDO CLAVULANICO TECNIGEN 500 MG/125 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 30 comprimidos,Medicamento Generico,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,NORMAL,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",5.84,AMOXICILINA/ AC CLAVULANICO 500MG/125MG 30 COMPRIMIDOS,NO,NO,NO,NO
AMOXICILINA/ACIDO CLAVULANICO TECNIGEN 875 MG/125 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 20 comprimidos,Medicamento Generico,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,NORMAL,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",6.81,AMOXICILINA/ AC CLAVULANICO 875MG/125MG 20 COMPRIMIDOS,NO,NO,NO,NO
AMOXICILINA/ACIDO CLAVULANICO TECNIGEN 875 MG/125 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 30 comprimidos,Medicamento Generico,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,NORMAL,"AMOXICILINA TRIHIDRATO,CLAVULANATO POTASIO",10.21,AMOXICILINA/ AC CLAVULANICO 875MG/125MG 30 COMPRIMIDOS,NO,NO,NO,NO
"CLOPIDOGREL QUALIGEN 75 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 84 comprimidos",Medicamento Generico,"NEURAXPHARM SPAIN, S.L.U",ALTA,NORMAL,CLOPIDOGREL HIDROGENOSULFATO,50.44,CLOPIDOGREL 75MG 84 COMPRIMIDOS,NO,NO,NO,NO
DUOFEMME 28 COMPRIMIDOS RECUBIERTOS,Medicamento Etica,ISDIN S.A.,ALTA,ESPECIAL,"ESTRADIOL HEMIHIDRATO,NORETISTERONA ACETATO",7.66,,NO,SI,NO,NO
"ACUIX 40 MG COMPRIMIDOS EFG, 30 comprimidos",Medicamento Generico,"UXAFARMA, S.A.",BAJA POR NO COMERCIALIZAR,ESPECIAL,FUROSEMIDA,2.25,FUROSEMIDA 40 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"TELMISARTAN/HIDROCLOROTIAZIDA RATIOGEN 80 MG/25 MG COMPRIMIDOS EFG, 28 comprimidos (Al/Al)",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,"TELMISARTAN,HIDROCLOROTIAZIDA",19.36,TELMISARTAN/HIDROCLOROTIAZIDA 80MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"TELMISARTAN/HIDROCLOROTIAZIDA RATIOGEN 80 MG/12,5 MG COMPRIMIDOS EFG, 28 comprimidos (Al/Al)",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,"HIDROCLOROTIAZIDA,TELMISARTAN",19.36,"TELMISARTAN/HIDROCLOROTIAZIDA 80MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"INFLUVAC 1 JERINGA PRECARGADA 0,5ML SUSPEN INYECTA",Medicamento Etica,"VIATRIS PHARMACEUTICALS, S.L.U",BAJA GENERAL,NORMAL,"VIRUS GRIPE B INACTIVADO HEMAGLUTININA,VIRUS GRIPE A H3N2 INACTIVADO FRACCIONADO,VIRUS GRIPE A H1N1 INACTIVADO HEMAGLUTININA,VIRUS GRIPE A H1N1 INACTIVADO FRACCIONADO,VIRUS GRIPE A H3N2 INACTIVADO HEMAGLUTININA",7.96,,NO,NO,NO,NO
"TELMISARTAN/HIDROCLOROTIAZIDA RATIOGEN 40 MG/12,5 MG COMPRIMIDOS EFG, 28 comprimidos (Al/Al)",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,"HIDROCLOROTIAZIDA,TELMISARTAN",9.68,"TELMISARTAN/HIDROCLOROTIAZIDA 40MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"TELMISARTAN/HIDROCLOROTIAZIDA TEVAGEN 40 MG/12,5 MG COMPRIMIDOS EFG 28 comprimidos (Al/Al)",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,"HIDROCLOROTIAZIDA,TELMISARTAN",9.68,"TELMISARTAN/HIDROCLOROTIAZIDA 40MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"TELMISARTAN/HIDROCLOROTIAZIDA TEVAGEN 80 MG/12,5 MG COMPRIMIDOS EFG 28 copmprimidos (Al/Al)",Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,"TELMISARTAN,HIDROCLOROTIAZIDA",19.36,"TELMISARTAN/HIDROCLOROTIAZIDA 80MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
TELMISARTAN/HIDROCLOROTIAZIDA TEVAGEN 80 MG/25 MG COMPRIMIDOS EFG 28 comprimidos (Al/Al),Medicamento Generico,"TEVA PHARMA, S.L.U",ALTA,NORMAL,"HIDROCLOROTIAZIDA,TELMISARTAN",19.36,TELMISARTAN/HIDROCLOROTIAZIDA 80MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
"TRAMADOL ALMUS  50 MG CAPSULAS DURAS EFG, 20 capsulas",Medicamento Generico,"ALMUS FARMACEUTICA, S.A.U.",ALTA,NORMAL,TRAMADOL HIDROCLORURO,2.5,TRAMADOL 50 MG 20 CAPSULAS,NO,NO,NO,NO
"TRAMADOL ALMUS  50 MG CAPSULAS DURAS EFG, 60 capsulas",Medicamento Generico,"ALMUS FARMACEUTICA, S.A.U.",ALTA,NORMAL,TRAMADOL HIDROCLORURO,6.21,TRAMADOL 50 MG 60 CAPSULAS,NO,NO,NO,NO
"OMEPRAZOL KRKA 20 mg CAPSULAS DURAS GASTRORRESISTENTES EFG , 28 capsulas",Medicamento Generico,KRKA D.D. NOVO MESTO,ALTA,NORMAL,OMEPRAZOL,2.42,OMEPRAZOL 20 MG 28 CAPSULAS ENTERICAS/GASTRORRESISTENTES,NO,NO,NO,NO
"ZADITEN 0,25 MG/MLl COLIRIO EN SOLUCION EN ENVASE UNIDOSIS, 20 envases unidosis de 0,4 ml",Medicamento Etica,"ELAM PHARMA LABS, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,KETOTIFENO FUMARATO,5.06,"KETOTIFENO 0,25MG/ML 20 ENVASES MONODOSIS 0,4ML COLIRIO",NO,NO,NO,NO
"CLOPIDOGREL CINFAMED 75 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,84 comprimidos",Medicamento Generico,CINFA S.A.,ALTA,NORMAL,CLOPIDOGREL HIDROGENOSULFATO,50.44,CLOPIDOGREL 75MG 84 COMPRIMIDOS,NO,NO,NO,NO
"TELMISARTAN/HIDROCLOROTIAZIDA ARISTO 40 MG/12,5 MG  COMPRIMIDOS EFG, 28 comprimidos",Medicamento Generico,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,"HIDROCLOROTIAZIDA,TELMISARTAN",9.68,"TELMISARTAN/HIDROCLOROTIAZIDA 40MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"TELMISARTAN/HIDROCLOROTIAZIDA ARISTO 80 MG/12,5 MG COMPRIMIDOS EFG, 28 comprimidos",Medicamento Generico,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,"TELMISARTAN,HIDROCLOROTIAZIDA",19.36,"TELMISARTAN/HIDROCLOROTIAZIDA 80MG/12,5MG 28 COMPRIMIDOS",NO,NO,NO,NO
"TELMISARTAN/HIDROCLOROTIAZIDA ARISTO 80 MG/25 MG COMPRIMIDOS EFG, 28 comprimidos",Medicamento Generico,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,NORMAL,"TELMISARTAN,HIDROCLOROTIAZIDA",19.36,TELMISARTAN/HIDROCLOROTIAZIDA 80MG/25MG 28 COMPRIMIDOS,NO,NO,NO,NO
DISIT 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos,Medicamento Generico,ALTER S.A.,ALTA,ESPECIAL,SITAGLIPTINA HIDROCLORURO MONOHIDRATO,31.21,SITAGLIPTINA 100 MG 28 COMPRIMIDOS,NO,NO,NO,NO
DISIT 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 56 comprimidos,Medicamento Generico,ALTER S.A.,ALTA,ESPECIAL,SITAGLIPTINA HIDROCLORURO MONOHIDRATO,53.06,SITAGLIPTINA 100 MG 56 COMPRIMIDOS,NO,NO,NO,NO
DISIT 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos,Medicamento Generico,ALTER S.A.,ALTA,ESPECIAL,SITAGLIPTINA HIDROCLORURO MONOHIDRATO,8.4,SITAGLIPTINA 25 MG 28 COMPRIMIDOS,NO,NO,NO,NO
DISIT 50 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG 28 comprimidos,Medicamento Generico,ALTER S.A.,ALTA,ESPECIAL,SITAGLIPTINA HIDROCLORURO MONOHIDRATO,16.78,SITAGLIPTINA 50 MG 28 COMPRIMIDOS,NO,NO,NO,NO
TRANGOREX 200MG 30 COMPRIMIDOS,Medicamento Etica,"SANOFI AVENTIS, S.A",ALTA,ESPECIAL,AMIODARONA HIDROCLORURO,3.48,AMIODARONA 200 MG 30 COMPRIMIDOS,NO,SI,NO,NO
"CELLCEPT 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA, 50 comprimidos",Medicamento Etica,"DIFARMED, S.L.U",ALTA,ESPECIAL,MICOFENOLATO DE MOFETILO,75.6,MICOFENOLATO MOFETILO 500 MG (360) 50 COMPRIMIDOS,SI,NO,NO,NO
