DESCRIPCION PRINCIPIO ACTIVO,NOMBRE GENERICO,PRESENTACION,FABRICANTE,PRECIO MAXIMO DE VENTA TRANSACCION FINAL COMERCIAL
VERAPAMILO,VERAPAMILO,SOLIDO,LAFRANCOL,NO REGULADO
COMPLEJO,,LIQUIDO/SOLIDO,RARE ANTIBODY ANTIGEN SUPPLY,NO REGULADO
INMUNOGLOBULINA,HEPATECT,LIQUIDO/SOLIDO,BIOTEST,NO REGULADO
RITONAVIR,ACROL,SOLIDO,PROCAPS,NO REGULADO
MOXIFLOXACINA,MOXIDIN,SOLIDO,GALENO QUIMICA,NO REGULADO
EZETIMIBE,ELIPOLOL,SOLIDO,BUSSIE,NO REGULADO
MONTELUKAST,MONTELUKAST,SOLIDO,OPHALAC,NO REGULADO
FENOFIBRATO,NORTRICOL,SOLIDO,METLEN PHARMA,NO REGULADO
ERITROPOYETINA,ERITROPOYETINA,SOLIDO,BAXTER,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,GLENMARK,NO REGULADO
VENLAFAXINA,EDUXON,SOLIDO,COLMED,NO REGULADO
PACLITAXEL,PACLITAXEL,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
ERITROPOYETINA,HEBERITRO,SOLIDO,HEBER BIOTEC,NO REGULADO
VENLAFAXINA,SESAREN,SOLIDO,MEGA LABS,NO REGULADO
RISEDRONICO,OSTEOCLAX,SOLIDO,TECNOQUIMICAS,NO REGULADO
GEMCITABINA,GEMCITABINA,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
EFAVIRENZ,EFAVIRENZ,SOLIDO,FOCUS,NO REGULADO
ACICLOVIR,ACICLOVIR,LIQUIDO/SOLIDO,FEPARVI,NO REGULADO
INMUNOGLOBULINA,INMUNOGLOBULINA HUMANA ANTI D (RHO),LIQUIDO/SOLIDO,FARMACUBA,NO REGULADO
DEFLAZACORT,DEZARTAL,SOLIDO,ANDROMACO,NO REGULADO
LEVONORGESTREL,ANULETTE,SOLIDO,SILESIA,NO REGULADO
LEVONORGESTREL,ANULETTE CD,SOLIDO,SILESIA,NO REGULADO
VERAPAMILO,VERAX,SOLIDO,BIOTOSCANA,NO REGULADO
LEVONORGESTREL,ANULETTE 20,SOLIDO,SILESIA,NO REGULADO
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,BIOPAS,NO REGULADO
LEVONORGESTREL,ANULETTE TRES,SOLIDO,SILESIA,NO REGULADO
VERAPAMILO,VERAPAMILO,SOLIDO,FARMATECH,NO REGULADO
PACLITAXEL,PACLITAXEL,LIQUIDO/SOLIDO,BIOPAS,NO REGULADO
VERAPAMILO,VERAPAMILO,SOLIDO,COLPHARMA,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,BIOPAS,NO REGULADO
OXALIPLATINO,OXALIPLATINO,LIQUIDO/SOLIDO,BIOPAS,NO REGULADO
ZOLEDRONICO, ZOLEDRONICO,LIQUIDO/SOLIDO,GLENMARK,NO REGULADO
LANSOPRAZOL,LANXIMED,SOLIDO,BIOCHEM,NO REGULADO
OXALIPLATINO,OXALIPLATINO,LIQUIDO/SOLIDO,EBEWE PHARMA,NO REGULADO
EZETIMIBE,EZETIMIBA,SOLIDO,AMERICAN GENERICS,NO REGULADO
LEVONORGESTREL,EVONIL,SOLIDO,PROCAPS,NO REGULADO
IRINOTECAN,IRINOTEL,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
DROSPIRENONA,ISIS 30,SOLIDO,CHALVER,NO REGULADO
IDARRUBICINA,IDARUBICINA,LIQUIDO/SOLIDO,BIOPAS,NO REGULADO
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,BIOPAS,NO REGULADO
FOSFOLIPIDOS,ALVEOFACT,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
SIMVASTATIN,,SOLIDO,AMERICAN GENERICS,NO REGULADO
EZETIMIBE,DUTEZEN,SOLIDO,TECNOQUIMICAS,NO REGULADO
CILOSTAZOL,LICUAGEN,SOLIDO,HUMANCARE,NO REGULADO
IRINOTECAN,NEOTECAN,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
DOXORUBICINA,DOXBIAN,LIQUIDO/SOLIDO,PHARMARKETING,NO REGULADO
DOXORUBICINA,DOXBIAN,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
OXALIPLATINO,XALIPLAT,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
ZOLEDRONICO, ZOLEDRONICO,LIQUIDO/SOLIDO,BIOPAS,NO REGULADO
OXIBUTININA,OXIBUTIN,SOLIDO,BLASKOV,NO REGULADO
METILPREDNISOLONA,METILPREDNISOLONA,LIQUIDO/SOLIDO,CARLON,NO REGULADO
RISEDRONICO,RISEDRONATO,SOLIDO,LA SANTE,NO REGULADO
RISEDRONICO,RISENAT,SOLIDO,GALENO QUIMICA,NO REGULADO
VALSARTAN,VALSARTAN,SOLIDO,SANOFI AVENTIS,NO REGULADO
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,VICARFARMACEUTICA,NO REGULADO
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,CARLON,NO REGULADO
VERAPAMILO,VERALIDE,SOLIDO,ICOM,NO REGULADO
QUETIAPINA,ONIKET,SOLIDO,MEGA LABS,NO REGULADO
QUETIAPINA,,,,NO REGULADO
CELECOXIB,CELECOXIB,SOLIDO,VICARFARMACEUTICA,NO REGULADO
LEVONORGESTREL,PLANORFEM,SOLIDO,JAI PHARMA,NO REGULADO
CEFUROXIME,CEFUROXIMA,LIQUIDO/SOLIDO,FARMALOGICA,NO REGULADO
PACLITAXEL,PAXETAL,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
CILOSTAZOL,LIGAMAX,SOLIDO,BIOTOSCANA,NO REGULADO
ALPROSTADIL,ALPROSTADIL,LIQUIDO/SOLIDO,AMA,NO REGULADO
TRANDOLAPRIL,TARKA SR,SOLIDO,LAFRANCOL,NO REGULADO
CICLOSPORINA,GENOSPORIN,SOLIDO,AMERICAN GENERICS,NO REGULADO
TOPIRAMATO,CONVIRAM,SOLIDO,FOCUS,NO REGULADO
CABERGOLINA,CABERGOLINA,SOLIDO,AMERICAN GENERICS,NO REGULADO
LAMOTRIGINA,LAMEP,SOLIDO,LAFRANCOL,NO REGULADO
ANIDULAFUNGINA,,,,NO REGULADO
ESZOPICLONA,ZOMILAN,SOLIDO,PROCAPS,NO REGULADO
QUETIAPINA,TIAMAX,SOLIDO,GARMISCH,NO REGULADO
LETROZOL,LETROZOL,SOLIDO,BIOPAS,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,COMERFAR,NO REGULADO
MONTELUKAST,PLENAIR,SOLIDO,MEGA LABS,NO REGULADO
ORLISTAT,ORLISTAT,SOLIDO,PAULY,NO REGULADO
ENOXAPARINA,NUROX,LIQUIDO/SOLIDO,LABORATORIO CHILE,NO REGULADO
ORLISTAT,ORALLI LW,SOLIDO,TAKEDA,NO REGULADO
DROSPIRENONA,DUCCINEA,SOLIDO,NOVAMED,NO REGULADO
ATORVASTATINA,ZITREZOL,SOLIDO,BUSSIE,NO REGULADO
IRINOTECAN,CAMPTOLEM,LIQUIDO/SOLIDO,LEMERY,NO REGULADO
MONTELUKAST,INMUNOKAST,SOLIDO,ANDROMACO,NO REGULADO
ARIPIPRAZOL,ILIMIT,SOLIDO,MEGA LABS,NO REGULADO
CIPROTERONA,TEZAN,SOLIDO,BIOTOSCANA,NO REGULADO
MONTELUKAST,MONUKAST,SOLIDO,GALENO QUIMICA,NO REGULADO
LEVONORGESTREL,AMESTRAL SUAVE,SOLIDO,TECNOQUIMICAS,NO REGULADO
CLOPIDOGREL,CIRGREL,SOLIDO,GALENO QUIMICA,NO REGULADO
MONTELUKAST,MONUKAST,SOLIDO,LA SANTE,NO REGULADO
VINORELBINA,VINOBINA,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
LAMOTRIGINA,BIOTOSCANA,SOLIDO,BIOTOSCANA,NO REGULADO
DONEPEZIL,DOPECILO,SOLIDO,APOLO,NO REGULADO
LEVONORGESTREL,SERMELLA 10,SOLIDO,NOVAMED,NO REGULADO
ENOXAPARINA,CLASINA,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
FACTOR,NANOTIV,LIQUIDO/SOLIDO,OCTAPHARMA,NO REGULADO
ARIPIPRAZOL,FAXOTINA,SOLIDO,TECNOQUIMICAS,NO REGULADO
TOPOTECAN,TOPODRIA,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
VERAPAMILO,VERAPAMILO,SOLIDO,COMERFAR,NO REGULADO
FENTANILO,NOLEDUL,SOLIDO,AMARIN,NO REGULADO
CILOSTAZOL,ARITAN,SOLIDO,LAFRANCOL,NO REGULADO
EFAVIRENZ,EFAVIRENZ,SOLIDO,STRIDES ARCOLAB,NO REGULADO
EZETIMIBE,EZETIMIBE,SOLIDO,MK,NO REGULADO
CILOSTAZOL,CILOSTAZOL,SOLIDO,AMERICAN GENERICS,NO REGULADO
DROSPIRENONA,VERONIQ MINI,SOLIDO,PROCAPS,NO REGULADO
METILPREDNISOLONA,CIPRIDANOL,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
RISEDRONICO,RESIDRON,SOLIDO,BIOTOSCANA,NO REGULADO
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,MEDIMEX,NO REGULADO
ATOMOXETINA,TONEBEC,SOLIDO,TECNOQUIMICAS,NO REGULADO
DOMPERIDONA,DOMPERIDONA,SOLIDO,SANDOZ,NO REGULADO
BICALUTAMIDA,BICALUTAMIDA,SOLIDO,SANDOZ,NO REGULADO
CEFUROXIME,CEFXIRO,LIQUIDO/SOLIDO,CLARIS LIFESCIENCES,NO REGULADO
RISEDRONICO,RISEDRINATO,SOLIDO,BUSSIE,NO REGULADO
MEDROXIPROGESTERONA,DEPOFEMIN,LIQUIDO/SOLIDO,TECNOQUIMICAS,NO REGULADO
OXALIPLATINO,OXPLAR,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
VALSARTAN,,,,NO REGULADO
DROSPIRENONA,PROTIMEST,SOLIDO,TECNOQUIMICAS,NO REGULADO
GABAPENTIN,GABAPENTINA,SOLIDO,LAFRANCOL,NO REGULADO
DONEPEZIL,DONEPECILO,SOLIDO,ALPEX,NO REGULADO
DONEPEZIL,DONEPEZILO,SOLIDO,ALPEX,NO REGULADO
DESOGESTREL,ODETTE,SOLIDO,PROCAPS,NO REGULADO
CIPROTERONA,CIPROTERONA,SOLIDO,BCN MEDICAL,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,WINTHROP,NO REGULADO
ARIPIPRAZOL,ALPEX ARIPRAX,SOLIDO,ALPEX,NO REGULADO
ARIPIPRAZOL,ARIPRAX,SOLIDO,GARMISCH,NO REGULADO
PACLITAXEL,,,,NO REGULADO
IPRATROPIO,IPRASYNT,LIQUIDO,FAES FARMA,NO REGULADO
LEVONORGESTREL,SERMELLA,SOLIDO,NOVAMED,NO REGULADO
CIPROTERONA,CETOL,SOLIDO,TECNOQUIMICAS,NO REGULADO
QUETIAPINA,EXQUIA,SOLIDO,GERIAPHARM,NO REGULADO
ORLISTAT,ORLIGTH,SOLIDO,PROCAPS,NO REGULADO
ESTROGENOS,FEVENY,SEMISOLIDO,FAES FARMA,NO REGULADO
ESTROGENOS,ESTABLIZANTE-E,SEMISOLIDO,ANZG,NO REGULADO
VORINOSTAT,ZOLINZA,SOLIDO,MERCK,NO REGULADO
FILGRASTIM,HEBERVITAL,LIQUIDO/SOLIDO,HEBER BIOTEC,NO REGULADO
ENOXAPARINA,EXIRINA,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
ARIPIPRAZOL,ABIPREN,SOLIDO,TAKEDA,NO REGULADO
DONEPEZIL,DANAZ,SOLIDO,BIOTOSCANA,NO REGULADO
ANFOTERICINA,ANFOCINA,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
ANASTROZOL,ANAZTA,SOLIDO,BIOTOSCANA,NO REGULADO
ENOXAPARINA,NOXARIN,LIQUIDO/SOLIDO,ALLIANCE MANAGEMENT SOLUTIONS,NO REGULADO
GLICLAZIDA,GLYCINORM,SOLIDO,IPCA,NO REGULADO
METILPREDNISOLONA,METILPREDNISOLONA,LIQUIDO/SOLIDO,PISA,NO REGULADO
ARIPIPRAZOL,ARIPSI,SOLIDO,LAFRANCOL,NO REGULADO
DOMPERIDONA,DOMPERIDONA,SOLIDO,AMERICAN GENERICS,NO REGULADO
CLOPIDOGREL,CLOPIDOGREL,SOLIDO,GARMISCH,NO REGULADO
PACLITAXEL,PACLITAXEL,LIQUIDO/SOLIDO,EBEWE PHARMA,NO REGULADO
VALSARTAN,PRESVAL,SOLIDO,GALENO QUIMICA,NO REGULADO
VALPROICO,EPIGEL,SOLIDO,CHALVER,NO REGULADO
OMEPRAZOL,OMEPRAZOL,SOLIDO,FOCUS,NO REGULADO
MEMANTINA,MINERVIT,SOLIDO,SYNTHESIS,NO REGULADO
LEUPRORELINA,LUPRON,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
LEUPRORELINA,,,,NO REGULADO
ENOXAPARINA,ENOXAPARINA SODICA,LIQUIDO/SOLIDO,GLAND PHARMA,NO REGULADO
VALSARTAN,VALTANH,SOLIDO,LAFRANCOL,NO REGULADO
ENOXAPARINA,,,,NO REGULADO
TOPIRAMATO,TOPILEX,SOLIDO,BIOTOSCANA,NO REGULADO
FLUTICASONA,,,,NO REGULADO
LEVONORGESTREL,EMERGYN,SOLIDO,SYNTHESIS,NO REGULADO
ATOMOXETINA,ABRETIA,SOLIDO,MEGA LABS,NO REGULADO
GABAPENTIN,GABAPENTINA,SOLIDO,SANDOZ,NO REGULADO
ATOMOXETINA,,,,NO REGULADO
QUETIAPINA,KETIAN 200 MG,SOLIDO,PROCAPS,NO REGULADO
MESALAZINA,MELAZ,LIQUIDO,LAFRANCOL,NO REGULADO
MESALAZINA,,,,NO REGULADO
DOCETAXEL,DOCETAXEL,LIQUIDO/SOLIDO,GLENMARK,NO REGULADO
VALPROICO,XANOXIA,SOLIDO,BIOTOSCANA,NO REGULADO
MEMANTINA,ZEIMER,SOLIDO,LAFRANCOL,NO REGULADO
ORLISTAT,KILOSTOP,SOLIDO,MANUFACTURERA MUNDIAL FARMACEUTICA,NO REGULADO
OCTREOTIDO,INFATALIDINA,LIQUIDO/SOLIDO,PISA,NO REGULADO
GEMCITABINA,GEMTAZ-SUN,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
LEVONORGESTREL,ACTIVA28,SOLIDO,BCN MEDICAL,NO REGULADO
LETROZOL,LEZORIA,SOLIDO,BIOTOSCANA,NO REGULADO
CIPROFIBRATO,CIPROFIBRATO,SOLIDO,AMERICAN GENERICS,NO REGULADO
ZOLEDRONICO, ZOLEDRONICO,LIQUIDO/SOLIDO,MEDIMEX,NO REGULADO
FORMOTEROL,ATIMOS,SOLIDO,CHIESI,NO REGULADO
INMUNOGLOBULINA,INMUNOGLOBULINA HUMANA HEPATITIS B,LIQUIDO/SOLIDO,BPL,NO REGULADO
DROSPIRENONA,FEMIPLUS,SOLIDO,ANDROMACO,NO REGULADO
IRBESARTAN,IRBESARTAN,SOLIDO,WINTHROP,NO REGULADO
IRBESARTAN,,,,NO REGULADO
CLOPIDOGREL,,,,NO REGULADO
RASAGILINA,AZILECT,SOLIDO,TEVA,NO REGULADO
APREPITANT,,,,NO REGULADO
QUETIAPINA,QUETIAZIC,SOLIDO,MONTE VERDE,NO REGULADO
TIMOLOL,OFTIPRES,LIQUIDO,DISTRIBUIDORA NACIONAL DE AVANZADA,NO REGULADO
VERAPAMILO,VERALIDE,SOLIDO,COOPIDROGAS,NO REGULADO
FLUMAZENIL,FLUMAZENIL,LIQUIDO/SOLIDO,BRAUN MELSUNGEN,NO REGULADO
LANSOPRAZOL,HELYCOPEP,SOLIDO,ICNAG,NO REGULADO
ENOXAPARINA,ENOXAPARINA SODICA,LIQUIDO/SOLIDO,PHARMAYECT,NO REGULADO
MEROPENEM,GENEROPEM,LIQUIDO/SOLIDO,RANBAXY,NO REGULADO
MEROPENEM,GENEROPEM,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
ORLISTAT,ALLI,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
CIPROTERONA,FESTAGEN,SOLIDO,PROCAPS,NO REGULADO
VENLAFAXINA,DESMARIL,SOLIDO,LAFRANCOL,NO REGULADO
VENLAFAXINA,,,,NO REGULADO
GABAPENTIN,GABAPENTINA,SOLIDO,LA SANTE,NO REGULADO
ANFOTERICINA,FUNGIPLUS,LIQUIDO/SOLIDO,BHARAT SERUM,NO REGULADO
VERAPAMILO,VERAPAMILO,SOLIDO,BEST,NO REGULADO
RISEDRONICO,DRINATO,SOLIDO,LABINCO,NO REGULADO
CITARABINA,,,,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,GENFAR,NO REGULADO
ATOMOXETINA,TOMOXET,SOLIDO,LAFRANCOL,NO REGULADO
OXALIPLATINO,OXALIPLATINO,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
CELECOXIB,IPCA CELICA,SOLIDO,IPCA,NO REGULADO
MEROPENEM,MEROPENEM,LIQUIDO/SOLIDO,VITROFARMA,NO REGULADO
FLUTICASONA,FLUTICASONA,LIQUIDO,NOVARTIS,NO REGULADO
METOPROLOL,METPURE XL,SOLIDO,EMCURE,NO REGULADO
METOPROLOL,,,,NO REGULADO
ENOXAPARINA,ENOXTROM,LIQUIDO/SOLIDO,ASWELFMEDICAL,NO REGULADO
VERAPAMILO,VERAPAMILO,SOLIDO,CARLON,NO REGULADO
MEROPENEM,PISAPEM,LIQUIDO/SOLIDO,PISA,NO REGULADO
LANSOPRAZOL,ROTER UL,SOLIDO,BIOQUIMICO PHARMA,NO REGULADO
MEMANTINA,LUCIDEX,SOLIDO,BAGO,NO REGULADO
LANSOPRAZOL,GASOPROL,SOLIDO,GRUINFACOL,NO REGULADO
GEMCITABINA,OKAGEM,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
NEVIRAPINA,NEVIRAPINA,LIQUIDO,LEGRAND,NO REGULADO
CIPROFIBRATO,CIPROFIBRATO,SOLIDO,WINTHROP,NO REGULADO
IRINOTECAN,,,,NO REGULADO
SUGAMMADEX,BRIDION,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
SUGAMMADEX,BRIDION,LIQUIDO/SOLIDO,MERCK,NO REGULADO
PERINDOPRIL,,,,NO REGULADO
ORLISTAT,COLMED ORLISTAT FAST,SOLIDO,COLMED,NO REGULADO
MEDROXIPROGESTERONA,SAYANA,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
ESZOPICLONA,ESZOPICLONA,SOLIDO,AMERICAN GENERICS,NO REGULADO
METILPREDNISOLONA,METILPREDNISOLONA,LIQUIDO/SOLIDO,LABORATORIO INTERNACIONAL ARGENTINO,NO REGULADO
METILPREDNISOLONA,,,,NO REGULADO
IRINOTECAN,LABDOSAFIXANO,LIQUIDO/SOLIDO,DOSA,NO REGULADO
VINORELBINA,LABDOSA VILNE,LIQUIDO/SOLIDO,DOSA,NO REGULADO
BRIMONIDINA,ALPHAGAN Z,LIQUIDO,ALLERGAN,NO REGULADO
BRIMONIDINA,,,,NO REGULADO
ANFOTERICINA,ANFOTERICINA B,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
FILGRASTIM,GENFILGRAS,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
EFAVIRENZ,EFCURE,SOLIDO,CLOSTER PHARMA,NO REGULADO
TOPOTECAN,TOPOTECAN,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
FACTOR,FACTOR VIII DE COAGULACION HUMANO,LIQUIDO/SOLIDO,CSL,NO REGULADO
ATOMOXETINA,ACEPTOL,SOLIDO,BUSSIE,NO REGULADO
LANSOPRAZOL,,,,NO REGULADO
GABAPENTIN,AGNA,SOLIDO,GENFAR,NO REGULADO
ENOXAPARINA,ENOXAPARINA SODICA,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
ADENOSINA,ADENOSINA,LIQUIDO/SOLIDO,MAX VISION,NO REGULADO
FLUTICASONA,LIRTODAC,LIQUIDO,MERCK,NO REGULADO
LANSOPRAZOL,KRONIGAS,SOLIDO,BRADYSTER,NO REGULADO
DORZOLAMIDA,DORZAMID,LIQUIDO,BIOTOSCANA,NO REGULADO
CANDESARTAN,ALZIPREX,SOLIDO,LABINCO,NO REGULADO
ANFOTERICINA,AMPHOCIL,LIQUIDO/SOLIDO,PHARMALAB,NO REGULADO
VERAPAMILO,VERAPRESS,SOLIDO,BIOQUIFAR,NO REGULADO
OXALIPLATINO,OXALIPLATINO,LIQUIDO/SOLIDO,VHB MEDI SCIENCES,NO REGULADO
MEMANTINA,AIRZAT,SOLIDO,LABINCO,NO REGULADO
ESOMEPRAZOL,CRONOPEP,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
ORLISTAT,ORLISTAT,SOLIDO,AMERICAN GENERICS,NO REGULADO
ZOLEDRONICO, ZOLEDRONICO,LIQUIDO/SOLIDO,AMERICAN GENERICS,NO REGULADO
ESOMEPRAZOL,ESOZ,LIQUIDO/SOLIDO,GALENO QUIMICA,NO REGULADO
LEVONORGESTREL,SINPREG,SOLIDO,LA SANTE,NO REGULADO
METOPROLOL,METOPROLOL,SOLIDO,RICHMOND,NO REGULADO
ENOXAPARINA,ENOXATAL,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
OXIBUTININA,DITRO,SOLIDO,PHOENIX,NO REGULADO
LEVONORGESTREL,BIOTOSCANA NOGESTYL,SOLIDO,BIOTOSCANA,NO REGULADO
DIACEREINA,FLAMTOR,SOLIDO,GLENMARK,NO REGULADO
MEDROXIPROGESTERONA,SYNOGEST,LIQUIDO/SOLIDO,UQUIFA,NO REGULADO
PACLITAXEL,PACLITAXEL,LIQUIDO/SOLIDO,VHB MEDI SCIENCES,NO REGULADO
INSULINA,PODEVTA,LIQUIDO/SOLIDO,WINTHROP,NO REGULADO
OMEPRAZOL,PEPSAZOL,SOLIDO,SANOFI AVENTIS,NO REGULADO
ITRACONAZOL,SISTEMAZOL,SOLIDO,MEGA LABS,NO REGULADO
DULOXETINA,ALACIR,SOLIDO,MEGA LABS,NO REGULADO
LEVETIRACETAM,,,,NO REGULADO
ORLISTAT,SYMFONA,SOLIDO,ANDROMACO,NO REGULADO
DULOXETINA,DULOXETINA,SOLIDO,TECNOQUIMICAS,NO REGULADO
ATAZANAVIR,REYAVIR,SOLIDO,SANICOL,NO REGULADO
PREGABALINA,,,,NO REGULADO
DOMPERIDONA,DOMPERIDONA,SOLIDO,WINTHROP,NO REGULADO
LEVETIRACETAM,LEVORE,SOLIDO,LEGRAND,NO REGULADO
OMEPRAZOL,ULZONE,SOLIDO,BIOGEN,NO REGULADO
GEMCITABINA,GEMCITABINA,LIQUIDO/SOLIDO,EBEWE PHARMA,NO REGULADO
DOXORUBICINA,DOXORUBICINA,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
VINORELBINA,VINORELBINA,LIQUIDO/SOLIDO,PINT PHARMA,NO REGULADO
CLOPIDOGREL,ISTEBLIX,SOLIDO,PFIZER,NO REGULADO
QUETIAPINA,TISDERAN,SOLIDO,PFIZER,NO REGULADO
IBANDRONICO,IBANAT,LIQUIDO/SOLIDO,GARMISCH,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,MEDIMEX,NO REGULADO
FLUDARABINA,FLUDARABINA,LIQUIDO/SOLIDO,MEDIMEX,NO REGULADO
ZOLEDRONICO, ZOLEDRONICO,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
METILFENIDATO,ADDWIZE,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
METILFENIDATO,,,,NO REGULADO
ANFOTERICINA,ANFOMYCE-B,LIQUIDO/SOLIDO,APOLO,NO REGULADO
LAMOTRIGINA,LAMOTRIGINA,SOLIDO,NORMON,NO REGULADO
LANSOPRAZOL,UGASIP,SOLIDO,MARIA MARTHA CHICA MACIAS,NO REGULADO
RISPERIDONA,SICOPIDOL,LIQUIDO,LAFRANCOL,NO REGULADO
LETROZOL,LETROZ,SOLIDO,HUMAX,NO REGULADO
VALPROICO,VALPROLIFE,SOLIDO,BIOLIFE,NO REGULADO
OMEPRAZOL,GASTRUM,SOLIDO,LAFRANCOL,NO REGULADO
OMEPRAZOL,OMEMAX,SOLIDO,APOLO,NO REGULADO
DOCETAXEL,LABDOSA PLUSTAXANO,LIQUIDO/SOLIDO,DOSA,NO REGULADO
DOCETAXEL,,,,NO REGULADO
TRIMETAZIDINA,IPCA MYOGARD,SOLIDO,IPCA,NO REGULADO
CANDESARTAN,CANDERSARTAN,SOLIDO,SANDOZ,NO REGULADO
CANDESARTAN,CANDESARTAN,SOLIDO,SANDOZ,NO REGULADO
VENLAFAXINA,NORPILEN,SOLIDO,ANDROMACO,NO REGULADO
GEMCITABINA,EMCITAB,LIQUIDO/SOLIDO,HUMAX,NO REGULADO
OMEPRAZOL,OMEPRAZOL,SOLIDO,LA SANTE,NO REGULADO
OLMESARTAN,OLARBI,SOLIDO,SANDOZ,NO REGULADO
TIROFIBAN,TIROFIBAN,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
PACLITAXEL,LABDOSADALYS,LIQUIDO/SOLIDO,DOSA,NO REGULADO
LEVONORGESTREL,OPXION,SOLIDO,BAYER,NO REGULADO
FILGRASTIM,ZARZIO 48,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
FILGRASTIM,,,,NO REGULADO
TOPIRAMATO,PIRAMAX,SOLIDO,CALIER,NO REGULADO
PREGABALINA,PREBICTAL,SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
LANREOTIDO,LANRETULINE,LIQUIDO/SOLIDO,WINTHROP,NO REGULADO
ATAZANAVIR,ATAZANAVIR,SOLIDO,SALUSPHARMA,NO REGULADO
LATANOPROST,LESSPIO,LIQUIDO,PISA,NO REGULADO
OMEPRAZOL,OMEPRAZOL,SOLIDO,MULTILATINOS,NO REGULADO
VALSARTAN,BRATENZIL,SOLIDO,LABQUIFAR,NO REGULADO
LEVETIRACETAM,SINEPIL,SOLIDO,LAFRANCOL,NO REGULADO
DROSPIRENONA,PROTIMEST SUAVE,SOLIDO,TECNOQUIMICAS,NO REGULADO
OMEPRAZOL,ALIVIEX LUA,SOLIDO,MK,NO REGULADO
FLUDARABINA,FLUDARABINAEBEWE,LIQUIDO/SOLIDO,EBEWE PHARMA,NO REGULADO
DOCETAXEL,DOCETAXEL,LIQUIDO/SOLIDO,EBEWE PHARMA,NO REGULADO
VENLAFAXINA,MEZINE  XR,SOLIDO,PHOENIX,NO REGULADO
VENLAFAXINA,MEZINE XR,SOLIDO,PHOENIX,NO REGULADO
IRINOTECAN,IRINOTECAN,LIQUIDO/SOLIDO,EBEWE PHARMA,NO REGULADO
OLMESARTAN,OLMETAN,SOLIDO,BUSSIE,NO REGULADO
CIPROFIBRATO,FIBRACID,SOLIDO,LABQUIFAR,NO REGULADO
MICOFENOLICO,MICOFENOLATO,SOLIDO,NORMON,NO REGULADO
GABAPENTIN,IPCA GABATA,SOLIDO,IPCA,NO REGULADO
ORLISTAT,AGILEZZA,SOLIDO,MERCK,NO REGULADO
PACLITAXEL,PACLITAXEL,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
VERAPAMILO,VERAPAMILO,SOLIDO,MAGER,NO REGULADO
